Internal ID,Internal ID,Legal Name,Name,PO Num,PO Name,PO #,SO Id,SO Num,SO Name,SO #,Date,Item,Quantity,Item Rate,Item Name,Item DisplayName,Item-Price,Item-PurcDesc,Item-Description
660122,660122,TD Synnex Corporation,TD Synnex Corporation [CA],POQ6861,Purchase Order #POQ6861,PURCHORD11987,660121,SOQ7229,Sales Order #SOQ7229,SALESORD10700,2023-05-26,9X8-00001,5,1135.56,9X8-00001,,,"Microsoft Surface Laptop Studio Slider - Intel Core i5 11300H - Win 11 Home - Iris Xe Graphics - 16 GB RAM - 512 GB SSD - 14.4"" touchscreen 2400 x 1600 @ 120 Hz - Wi-Fi 6 - platinum - refurbished",
659209,659209,Ingram Micro Inc.,Ingram Micro Inc. [CA],POQ6840,Purchase Order #POQ6840,PURCHORD11961,659205,SOQ7209,Sales Order #SOQ7209,SALESORD10677,2023-04-12,11U6S15000,9,974.62,11U6S15000,,,"Lenovo M90q Tiny System with Core i5-12600T CPU, 8GB Ram, 256GB SSD NVMe Opal 2.0, Rear Com2 cable/serial port, Integrated Graphics card with DP, HDMI and VGA inputs, USB Keyboard and Mouse, Integrated  Gigabit NIC, Microsoft Windows 11 Professional 64 bit operating system with downgrade rights for Windows 10. Lenovo direct 3 year premier support on-site warranty.",
659326,659326,Ingram Micro Inc.,Ingram Micro Inc. [CA],POQ6842,Purchase Order #POQ6842,PURCHORD11965,659093,SOQ7207,Sales Order #SOQ7207,SALESORD10674,2023-04-12,21E6007GUS,2,1151.36,21E6007GUS,,,"Lenovo ThinkPad E15 Gen 4 21E6 Intel Core i7 1255U / 1.7 GHz - Win 11 Pro - Iris Xe Graphics - 16 GB RAM - 512 GB SSD TCG Opal Encryption 2, NVMe - 15.6"" IPS 1920 x 1080 (Full HD) - Wi-Fi 6E - mineral metallic - kbd: English",
659326,659326,Ingram Micro Inc.,Ingram Micro Inc. [CA],POQ6842,Purchase Order #POQ6842,PURCHORD11965,659093,SOQ7207,Sales Order #SOQ7207,SALESORD10674,2023-04-12,5WS0A23681,2,100.26,5WS0A23681,,,Lenovo Onsite Upgrade Extended service agreement - parts and labor (for system with 1 year depot or carry-in warranty) - 3 years (from original purchase date of the equipment) - on-site - for ThinkBook 13x G2 IAP; 14 G4+ IAP; 14s Yoga G2 IAP; ThinkPad E14 Gen 4; E15 Gen 4,
659327,659327,D&H CANADA ULC.,D&H CANADA ULC. [CA],POQ6843,Purchase Order #POQ6843,PURCHORD11966,659093,SOQ7207,Sales Order #SOQ7207,SALESORD10674,2023-04-12,40AY0090US,2,255.51,40AY0090US,,,"Lenovo ThinkPad Universal USB-C Dock Docking station - USB-C - HDMI, 2 x DP - GigE - 90 Watt - CRU - United States - for ThinkBook 13x G2 IAP; 14s Yoga G2 IAP; ThinkPad L13 Yoga Gen 3; T14s Gen 3; X1 Nano Gen 2",
659204,659204,Ingram Micro Inc.,Ingram Micro Inc. [CA],POQ6838,Purchase Order #POQ6838,PURCHORD11959,659062,SOQ7203,Sales Order #SOQ7203,SALESORD10667,2023-04-12,2Z600F#BGJ,6,317.74,2Z600F#BGJ,,,"HP LaserJet Pro 4001dn Printer - B/W - Duplex - laser - A4/Letter - 4800 x 600 dpi - up to 42 ppm - capacity: 350 sheets - USB 2.0, LAN",
659216,659216,Ingram Micro Inc.,Ingram Micro Inc. [CA],POQ6841,Purchase Order #POQ6841,PURCHORD11962,659042,SOQ7202,Sales Order #SOQ7202,SALESORD10665,2023-04-12,4X30M39458,20,54.37,4X30M39458,,,Lenovo Essential Wireless Combo Keyboard and mouse set - wireless - 2.4 GHz - US - for IdeaPad S340-14; ThinkCentre M80s Gen 3; M90a Gen 3; M90a Pro Gen 3; M90t Gen 3; V15 IML,
