Internal ID,PO Num,PO Name,PO #,SO Num,SO Name,SO #,Date,Item,Quantity,Item Rate
443441,POU2391,Purchase Order #POU2391,PURCHORD7673,SOU3749,Sales Order #SOU3749,SALESORD6865,2023-01-06,21CB00BVUS,4,2982.1475684
443441,POU2391,Purchase Order #POU2391,PURCHORD7673,SOU3749,Sales Order #SOU3749,SALESORD6865,2023-01-06,AIC-00001,1,3806.5434264
443441,POU2391,Purchase Order #POU2391,PURCHORD7673,SOU3749,Sales Order #SOU3749,SALESORD6865,2023-01-06,F9W-00226,1,421.5587376
464264,POQ4756,Purchase Order #POQ4756,PURCHORD8265,SOQ5440,Sales Order #SOQ5440,SALESORD7487,2023-01-19,981-000510,50,36.61
464264,POQ4756,Purchase Order #POQ4756,PURCHORD8265,SOQ5440,Sales Order #SOQ5440,SALESORD7487,2023-01-19,SUPER7B,48,24.03
464264,POQ4756,Purchase Order #POQ4756,PURCHORD8265,SOQ5440,Sales Order #SOQ5440,SALESORD7487,2023-01-19,CA-2014RB,50,12.48
